cds7_ID,year,baseline_enroll_ratio,baseline_freelunch,studentachievement,baseline_achievement,minoritycandidate_electoral_result
1964279,2008,0.89468926,0.69278198,0.030991524,-0.37140384,0.063373089
1964279,2010,0.91083491,0.70314455,0.084369868,-0.35182628,0.014771789
1964279,2012,0.92838895,0.71751958,0.082504839,-0.32254794,0.046726108
1964287,2002,0.95110869,NA,NA,NA,0.023716092
1964287,2003,0.95324087,NA,NA,NA,0.29531464
1964287,2004,0.9579376,0.70503217,NA,NA,-0.09875682
1964287,2006,0.96823668,0.70943743,NA,NA,-0.0050133169
1964287,2008,0.94692898,0.73135728,-0.046773449,-0.22239356,9.8250806e-4
1964287,2010,0.947725,0.77177256,0.11431037,-0.2524201,0.01952599
1964287,2016,0.95889175,0.60708731,NA,-0.1112469,-0.0043233484
1964295,2002,0.96214187,NA,NA,NA,-0.013647407
1964295,2004,0.95923591,0.76377279,NA,NA,0.1387755
1964295,2004,0.95923591,0.76377279,NA,NA,0.049892694
1964295,2008,0.97585249,0.80796212,0.082409963,NA,0.090731084
1964295,2014,0.98410493,0.77866083,NA,NA,0.012378901
1964303,2002,0.63805938,NA,NA,NA,0.013330966
1964303,2008,0.75319368,0.51455808,0.091356158,-0.10936889,-0.017647058
1964311,2002,0.19830346,NA,NA,NA,-0.023379713
1964311,2012,0.25959712,0.045800075,-0.032574654,1.3521718,-0.0024169236
1964311,2014,0.26536584,0.064780489,NA,1.2459131,0.044097155
1964311,2016,0.25710624,0.058773242,NA,1.2863209,0.032185316
1964329,2004,0.42153877,0.24270414,NA,NA,0.082602024
1964329,2010,0.54660892,0.22157693,0.10683158,0.31636679,0.11422214
1964337,2002,0.48236376,NA,NA,NA,-0.029368043
1964345,2002,0.32254696,NA,NA,NA,0.006822601
1964345,2006,0.30570704,0.16612141,NA,NA,-0.0097087473
1964352,2002,0.9305371,NA,NA,NA,0.026776522
1964352,2004,0.94238061,0.45852917,NA,NA,0.12980342
1964352,2010,0.95899326,0.5659914,NA,NA,0.088784099
1964352,2010,0.95899326,0.5659914,NA,NA,0.19187936
1964352,2014,0.96645302,0.76626211,NA,NA,-0.01007688
1964352,2016,0.97113931,NA,NA,NA,-0.1589404
1964378,2006,0.54515052,0.25708884,NA,NA,-0.14465603
1964378,2008,0.58027327,0.25775689,-0.07115265,0.19566922,-0.10164005
1964378,2014,0.65709758,0.35479778,NA,0.16999477,-0.07860823
1964394,2002,0.42949307,NA,NA,NA,0.14606228
1964394,2004,0.45018226,0.27840218,NA,NA,-0.24712443
