id,send_date,resp_date,days_to_resp,t_mohammad,t_good,treatments,resp_true,reject1,unclear1,accept1,school_type,bigcity,region,above_median_student,above_median_grades,above_median_non_danes
1051,2017-03-08,NA,NA,1,0,1,0,1,0,0,0,1,Region Hovedstaden,1,1,1
1052,2017-03-08,NA,NA,1,1,0,0,1,0,0,1,0,Region Midtjylland,1,1,0
1053,2017-03-08,2017-03-09,1,0,0,3,1,0,0,1,1,1,Region Nordjylland,1,1,0
1054,2017-03-08,2017-03-09,1,0,0,3,1,0,0,1,1,0,Region Syddanmark,0,NA,0
1055,2017-03-08,2017-03-10,2,0,1,2,1,0,1,0,1,0,Region Syddanmark,1,1,0
1056,2017-03-08,NA,NA,1,1,0,0,1,0,0,0,1,Region Hovedstaden,0,0,0
1057,2017-03-08,2017-03-09,1,0,0,3,1,0,1,0,1,0,Region Sjælland,1,0,1
1058,2017-03-08,2017-03-08,0,1,1,0,1,0,0,1,1,0,Region Nordjylland,0,NA,0
1059,2017-03-08,2017-03-09,1,0,1,2,1,1,0,0,0,0,Region Nordjylland,0,NA,0
1060,2017-03-08,2017-03-10,2,1,0,1,1,1,0,0,1,1,Region Hovedstaden,1,1,0
1061,2017-03-08,NA,NA,1,1,0,0,1,0,0,1,0,Region Sjælland,0,0,1
1062,2017-03-08,2017-03-13,5,1,1,0,1,0,1,0,1,1,Region Nordjylland,0,0,0
1063,2017-03-08,2017-03-13,5,0,0,3,1,0,0,1,1,0,Region Midtjylland,0,NA,1
1064,2017-03-08,2017-03-08,0,0,0,3,0,1,0,0,0,0,Region Syddanmark,NA,NA,NA
1065,2017-03-08,2017-03-09,1,0,0,3,1,1,0,0,0,0,Region Midtjylland,0,1,0
1066,2017-03-08,2017-03-09,1,1,0,1,1,0,1,0,1,0,Region Midtjylland,1,NA,0
1067,2017-03-08,2017-03-08,0,0,1,2,1,0,1,0,1,1,Region Hovedstaden,1,1,1
1068,2017-03-08,2017-03-09,1,1,1,0,1,0,0,1,0,0,Region Midtjylland,0,NA,0
1069,2017-03-08,2017-03-13,5,0,1,2,1,0,0,1,0,0,Region Nordjylland,0,NA,0
1070,2017-03-08,2017-03-09,1,0,0,3,1,1,0,0,0,1,Region Hovedstaden,1,1,1
1071,2017-03-08,2017-03-13,5,0,1,2,1,0,1,0,1,1,Region Hovedstaden,1,0,1
1072,2017-03-08,2017-03-09,1,0,0,3,1,0,1,0,0,0,Region Syddanmark,0,1,0
1073,2017-03-08,2017-03-09,1,0,0,3,1,1,0,0,1,1,Region Hovedstaden,1,0,1
1074,2017-03-08,NA,NA,1,1,0,0,1,0,0,1,0,Region Midtjylland,0,NA,0
1075,2017-03-08,2017-03-09,1,0,0,3,1,0,1,0,1,0,Region Midtjylland,1,0,0
1076,2017-03-08,2017-03-13,5,0,1,2,1,0,0,1,1,0,Region Midtjylland,0,NA,0
1077,2017-03-08,2017-03-16,8,1,0,1,1,0,0,1,1,0,Region Sjælland,1,NA,1
1078,2017-03-08,2017-03-09,1,1,0,1,1,0,0,1,0,0,Region Nordjylland,0,NA,0
1079,2017-03-08,2017-03-09,1,0,1,2,1,0,1,0,0,1,Region Hovedstaden,0,NA,1
1080,2017-03-08,2017-03-08,0,1,1,0,1,0,1,0,1,1,Region Nordjylland,0,0,0
1081,2017-03-08,2017-03-09,1,0,1,2,1,0,0,1,1,1,Region Midtjylland,0,0,1
1082,2017-03-08,2017-03-09,1,0,1,2,1,1,0,0,0,0,Region Syddanmark,0,1,0
1083,2017-03-08,2017-03-09,1,0,0,3,0,1,0,0,1,1,Region Hovedstaden,0,0,1
1084,2017-03-08,2017-03-09,1,0,1,2,1,0,1,0,1,0,Region Nordjylland,1,0,1
1085,2017-03-08,2017-03-09,1,1,1,0,1,0,0,1,0,0,Region Syddanmark,0,1,0
1086,2017-03-08,2017-03-09,1,1,1,0,1,0,1,0,0,0,Region Midtjylland,0,NA,0
1087,2017-03-08,2017-03-09,1,0,1,2,1,0,0,1,1,0,Region Midtjylland,1,NA,1
1088,2017-03-08,NA,NA,1,1,0,0,1,0,0,1,0,Region Sjælland,1,0,1
1089,2017-03-08,2017-03-10,2,1,0,1,1,0,1,0,1,1,Region Midtjylland,1,1,1
1090,2017-03-08,2017-03-08,0,1,1,0,1,0,0,1,1,0,Region Nordjylland,0,0,1
1091,2017-03-08,2017-03-08,0,1,0,1,1,1,0,0,0,1,Region Hovedstaden,1,1,0
1092,2017-03-08,2017-03-10,2,1,1,0,1,0,1,0,1,0,Region Midtjylland,0,1,0
1093,2017-03-08,2017-03-10,2,0,0,3,1,1,0,0,0,0,Region Sjælland,0,NA,0
1094,2017-03-08,2017-03-09,1,1,0,1,1,0,1,0,1,0,Region Syddanmark,0,0,0
1095,2017-03-08,2017-03-09,1,0,0,3,1,0,1,0,1,0,Region Midtjylland,0,1,0
1096,2017-03-08,2017-03-13,5,1,1,0,1,1,0,0,1,1,Region Hovedstaden,1,0,1
1097,2017-03-08,2017-03-09,1,1,0,1,1,1,0,0,0,0,Region Syddanmark,0,1,0
1098,2017-03-08,NA,NA,0,0,3,0,1,0,0,0,0,Region Syddanmark,0,1,1
1099,2017-03-08,2017-03-10,2,0,1,2,1,0,1,0,1,1,Region Hovedstaden,1,1,1
1100,2017-03-08,2017-03-09,1,0,1,2,1,1,0,0,1,1,Region Hovedstaden,1,1,0
1101,2017-03-08,2017-03-10,2,1,1,0,1,1,0,0,0,1,Region Hovedstaden,0,1,0
1102,2017-03-08,2017-03-12,4,0,1,2,1,0,0,1,1,1,Region Hovedstaden,1,0,1
