state,dist,incumbent,repvoteshare,repspending,demspending,trumpvoteshare,lagrepvoteshare
"PA",11,"R",.5898,14.45331,14.45331,.6355,.6367
"PA",12,"R",.6604,13.70567,11.41208,.6899,.6176
"PA",15,"R",.6784,14.18199,11.89061,.7246,.6056
"PA",16,"R",.5217,15.00762,14.37827,.6037,.5562
"RI",1,"D",.3315,0,14.30468,.3658,.3524
"RI",2,"D",.3636,8.167919,13.55132,.4627,.3455999
"SC",2,"R",.5698,14.37389,11.92642,.5933,.6267
"SC",3,"R",.6864,13.47917,12.63827,.6979,.7291
"SC",5,"R",.5789,14.509,14.5222,.5963,.6045
"SC",6,"D",.2869999,7.418781,14.51104,.312,.2826
"SC",7,"R",.5964,13.94166,10.19122,.5973,.6102
"TN",1,"R",.7857,13.31434,12.00282,.7956,.8356
"TN",3,"R",.6488,13.30718,12.55949,.6841,.6971
"TN",4,"R",.6536,12.51259,13.26866,.7146,.6503
"TN",5,"D",.3215,0,13.5504,.403,.3745
"TN",8,"R",.6921,14.42295,8.999002,.6835,.7327
"TN",9,"D",.1939,11.18746,12.91958,.2035,.1933
"TX",1,"R",.733,13.57601,10.76962,.7405,.7538
"TX",4,"R",.7667,13.64342,10.43509,.7757,1
"TX",7,"R",.4747,15.08034,15.63761,.4927,.5617
"TX",8,"R",.747,15.61075,10.31771,.7526,1
"TX",10,"R",.5218,14.44162,13.09331,.5476,.5986
"TX",11,"R",.813,14.72537,11.38836,.8029,1
"TX",12,"R",.6547,14.5596,12.19831,.6579,.721
"TX",13,"R",.8281,14.16612,10.75056,.8254,1
"TX",14,"R",.6011,13.47976,12.23819,.6025,.6186
"TX",15,"D",.3937,9.697693,12.92758,.4137,.3967
"TX",17,"R",.5789,14.121,11.78167,.592,.6331
"TX",18,"D",.2167,9.238733,13.55091,.2073,.2434
"TX",19,"R",.7523,13.90195,11.54438,.7552,1
"TX",22,"R",.5251,14.47169,14.29133,.541,.5952
"TX",23,"R",.5023,15.4628,15.62352,.4823,.507
"TX",24,"R",.5156,13.91438,11.46697,.5326,.5882
"TX",25,"R",.5445,14.31466,13.37844,.5782,.6072
"TX",26,"R",.6034,14.37219,11.57252,.639,.6914
"TX",31,"R",.5148,14.49302,15.43877,.5673,.6152
"TX",32,"R",.4668,15.46914,15.58523,.49,1
"TX",33,"D",.2233999,10.79647,14.15874,.2453,.2629
"TX",34,"D",.4001,11.46607,13.49618,.3891,.3733
"TX",35,"D",.2677,10.74445,13.14906,.3224,.3336
"TX",36,"R",.7256,13.81581,13.71222,.7407,1
"UT",1,"R",.7122,13.85838,10.16578,.7638,.7137
"UT",2,"R",.5905,13.75251,13.00074,.6824,.6452
