baseline_age,baseline_previousinvest,baseLine_female,treatment,baseline_cons_vote,baseline_lab_vote,baseline_noedu,baseline_SocioeconomicValues,SocioeconomicValues_post
59,1,0,1,0,0,0,-2.1088519,-1.3443332
34,0,0,0,1,0,0,-0.95414174,-0.11341906
32,0,1,1,0,0,0,0.85303599,1.7351527
59,0,1,0,1,0,0,-1.4175689,-1.3612711
27,0,1,1,0,0,0,-0.015635539,-0.050092168
59,0,1,0,0,1,0,-1.537941,-1.8353372
59,1,1,1,0,0,0,-1.3217369,-0.10495009
76,0,1,1,1,0,0,1.291853,1.337713
65,1,0,1,1,0,0,0.11784552,-0.56286442
53,0,1,1,1,0,0,2.1281183,1.3538647
55,0,1,1,0,0,0,0.50495887,-0.69160777
37,1,0,1,1,0,0,-0.32606357,0.99798346
75,0,1,1,0,1,0,-0.63023323,0.07083343
45,0,0,1,0,1,0,-2.2733521,-1.1087263
66,1,0,1,1,0,0,1.8110603,-0.57980239
72,0,1,1,0,0,0,-1.220883,-0.10495009
36,0,0,1,1,0,0,0.18768017,-0.59595406
44,1,0,1,1,0,0,-1.1379393,-0.31878862
50,1,1,1,1,0,0,0.73907304,0.3585574
68,1,0,1,0,0,0,-0.49719375,-1.1087263
58,1,1,1,0,1,0,-1.3024397,-0.95183527
70,0,0,1,1,0,0,0.63821912,-0.11550862
46,0,1,1,0,0,0,-0.04665482,-0.17883551
62,1,1,1,1,0,0,1.3228723,1.2526178
54,1,0,0,0,1,0,-2.6409473,-3.7247047
46,1,0,0,0,0,0,-0.83376974,-1.462518
76,0,0,1,0,0,1,-0.033766575,-0.8421194
50,0,1,0,0,1,0,-1.689553,-1.9943178
56,0,0,0,1,0,0,0.42201516,0.14471886
55,0,1,1,0,1,0,-1.0046791,-0.060650703
60,1,1,1,1,0,0,-0.23708227,-0.52415818
70,0,1,1,0,0,0,0.68853569,0.19398364
55,1,1,1,0,0,0,-3.6116393,-3.5657241
58,0,0,1,0,1,0,-2.2926495,-0.27448922
50,0,1,1,0,0,0,-1.7722759,-3.4067435
56,0,0,1,1,0,0,-0.82088149,0.50697947
38,0,0,0,1,0,0,-1.1508276,0.82494074
67,1,1,1,0,1,0,1.2401494,2.2015362
49,1,1,1,0,0,0,1.5765045,1.8308065
55,1,1,1,0,0,0,-0.0027472924,-0.9990105
59,1,0,1,0,1,0,-1.5184228,-2.4578252
57,1,1,1,0,1,0,-1.5057554,-2.9980938
46,1,1,1,0,1,0,2.4451761,2.1079719
73,0,1,1,0,0,0,0.92309147,0.81647176
48,0,0,1,1,0,0,-1.1379393,-1.2234075
51,1,0,1,0,0,0,0.58768171,2.4069057
55,0,1,1,1,0,0,1.2401494,1.1484951
58,0,1,0,1,0,0,0.11762471,0.10888845
55,0,1,0,1,0,0,2.762234,1.8096894
54,0,0,0,1,0,0,-0.24997053,0.4626801
20,0,0,1,0,1,0,0.35218051,-0.92721462
33,0,1,0,0,0,0,1.6091316,1.1787324
39,0,1,0,0,0,0,-0.19943316,-0.20060381
32,0,0,1,1,0,0,3.2633102,3.410682
40,0,1,1,0,0,0,0.38436604,0.24884155
58,1,1,1,1,0,0,0.73907304,0.89882612
67,1,1,1,0,1,0,0.047569267,-0.88641882
70,1,0,1,0,1,0,-1.5882574,-0.64730841
33,0,0,0,0,0,0,-3.6116393,-1.1192849
48,1,1,1,0,0,0,-0.82088149,0.77008277
28,0,1,1,0,0,0,-2.4442616,-2.5126832
65,0,1,1,0,1,1,-1.2011442,0.84396821
52,1,1,1,1,0,0,0.87233329,-0.10495009
55,0,1,1,1,0,0,1.6904675,1.8941333
32,0,0,1,0,0,0,1.443465,-0.13244657
55,0,1,1,0,1,0,-1.7851641,-1.0981678
38,1,1,1,0,1,0,0.32116124,-2.0386171
43,1,1,1,1,0,0,0.47371876,-0.12397759
62,0,1,1,0,1,0,-2.1400919,-2.4219947
65,0,0,1,1,0,0,-0.066172905,1.0936371
51,1,0,1,1,0,0,1.1896119,0.89035714
43,1,1,1,0,1,0,3.0289752,0.16374637
71,0,1,1,0,1,0,-0.38323078,-0.69160777
53,1,0,1,1,0,0,0.78961039,1.3074757
31,0,0,1,1,0,0,-0.88430709,-1.462518
48,0,0,1,0,1,0,-0.015635539,0.67651862
