"","taxrich","effort_rich","proso_rich","Age","female","Income","Education","party_left","party_right"
"308",0.40000001,0.5,0.66666669,74,0,0.30000001,0.16666667,0,1
"309",0.5,0.83333331,0.5,65,1,0.2,0.16666667,0,1
"310",0,1,0.83333331,72,0,0.69999999,0.66666669,0,1
"311",0.1,0.5,0.33333334,26,1,0.1,0,1,0
"312",0.5,0.83333331,0.83333331,28,1,1,0.83333331,1,0
"313",0.80000001,0.83333331,0.5,39,1,0.69999999,0.16666667,1,0
"314",0,NA,0.33333334,68,1,0.30000001,0.16666667,0,1
"315",0.2,0.83333331,0.5,48,1,0.40000001,0.83333331,0,0
"316",0.2,0.66666669,0.5,52,0,0.60000002,0.16666667,1,0
"317",0.5,0.66666669,0.5,70,0,NA,0.66666669,0,1
"318",0.40000001,0.83333331,0.66666669,71,1,0.5,0.66666669,1,0
"319",0.5,0.66666669,0.5,26,1,0.69999999,0.66666669,1,0
"320",0.1,0.5,0,66,1,0.60000002,0.66666669,1,0
"321",0.2,0.83333331,0.66666669,30,1,0.2,0.33333334,0,0
"322",0.40000001,0.83333331,0.16666667,48,1,NA,0.16666667,1,0
"323",0.2,0.66666669,0.5,40,0,NA,0.66666669,0,0
"324",0.5,1,0.83333331,23,0,0.2,0.66666669,1,0
"325",0.5,0.16666667,0.16666667,58,0,0.69999999,0.66666669,0,1
"326",0.69999999,NA,0.5,55,1,0.5,0.66666669,1,0
"327",0.40000001,1,0.66666669,65,1,0.30000001,0,0,1
"328",0.5,0.83333331,0.83333331,45,0,0.60000002,0.33333334,0,0
"329",0.5,1,1,41,1,0.60000002,0.5,0,1
"330",0.80000001,0.66666669,0.33333334,31,1,0.5,0.16666667,0,0
"331",0.5,0.5,0.5,30,1,0.40000001,0.16666667,0,0
"332",0.30000001,0.5,0.5,49,0,0.30000001,0.16666667,0,1
"333",0.30000001,0.66666669,0.66666669,49,0,0.60000002,0.16666667,0,1
"334",0.89999998,0.66666669,0.5,19,1,0.60000002,0.33333334,0,1
"335",0.60000002,0.5,0.33333334,23,1,0.1,0.66666669,0,1
"336",0.2,0.33333334,0.33333334,40,0,0.60000002,0.16666667,1,0
"337",0.89999998,0.83333331,0.5,47,0,0.30000001,0.16666667,1,0
"338",0.69999999,1,0.66666669,24,0,NA,0.33333334,0,1
"339",0.40000001,1,0.83333331,71,1,0.30000001,0.16666667,1,0
"340",0.40000001,0.5,0.5,23,1,0,0.33333334,0,1
"341",NA,0.66666669,0.66666669,53,1,NA,0.5,NA,NA
"342",0.5,0.66666669,0.66666669,38,1,0.5,0.16666667,0,1
"343",0.5,1,NA,57,1,NA,0.83333331,0,1
"344",0.5,0.83333331,0.66666669,50,1,0.2,0.66666669,1,0
"345",0.40000001,0.5,0.33333334,31,1,0.1,0.16666667,0,1
"346",0.30000001,0.83333331,0.66666669,70,1,0.2,0.16666667,1,0
"347",0,1,1,51,1,0.69999999,0.33333334,1,0
"348",1,1,1,31,0,0.5,0.83333331,0,1
"349",0.5,0.66666669,NA,45,0,0,0.16666667,1,0
"350",1,1,0.83333331,23,1,0.1,0.66666669,0,1
"351",0.1,0.5,0.5,37,1,0.69999999,0.66666669,1,0
"352",0.60000002,0.83333331,0.83333331,49,1,0.5,0.16666667,0,1
