country,year,company,pct_rev_change,prop_attn,prop_lead,prop_pay,prop_family,prop_harass
Italy,2010,221781,-2.3829131112785396,0.1266089892382359,0,0,0.1266089892382359,0
Italy,2007,221781,NA,0.10819583446037327,0,0,0.09917951492200883,0.00901631953836444
Italy,2013,221781,-20.77126381547333,0.01791080419510836,0.00597026806503612,0,0.01194053613007224,0
Italy,2016,221781,-17.898571565525835,0.03641451214136497,0.005749659811794468,0,0.030664852329570502,0
Italy,2012,221781,-9.311446833236491,0.17565872020075282,0.02509410288582183,0,0.150564617314931,0
Italy,2017,221781,-5.987856141989722,0.04655172413793104,0.010344827586206896,0,0.034482758620689655,0.0017241379310344827
Italy,2014,221781,6.8587313621430335,0.0209595040319467,0.005515658955775447,0,0.015443845076171251,0
Italy,2009,221781,11.036964980544738,0.08320096815672037,0.00756372437788367,0,0.0756372437788367,0
Italy,2015,221781,23.344527480843812,0.03130686598704678,0.005870037372571272,0,0.025436828614475514,0
Italy,2008,221781,6.418219461697716,0.13682564503518374,0,0,0.08795934323690383,0.0488663017982799
Italy,2011,221781,-1.1505393714213885,0.14009526478005044,0,0,0.14009526478005044,0
Greece,2015,274056,-29.05024507496933,0.12987950068547516,0.01443105563171946,0.02164658344757919,0.0938018616061765,0
Greece,2011,274056,46.45887311739101,0.18581405779457935,0.006407381303261357,0.012814762606522714,0.16659191388479527,0
Greece,2008,274056,35.992743470050684,0.19095683011662007,0,0.0068198867898792885,0.1773170565368615,0.0068198867898792885
Greece,2016,274056,-14.48976853455759,0.10197392381091121,0.007283851700779372,0.021851555102338115,0.07283851700779372,0
Greece,2014,274056,-5.186020393735957,0.12244309997118986,0.007202535292422933,0.021607605877268798,0.09363295880149813,0
Greece,2009,274056,-30.931079841613396,0.1901931649331352,0,0.01188707280832095,0.17830609212481427,0
Greece,2013,274056,-4.8126758136272425,0.10789149198520344,0.02311960542540074,0.0077065351418002465,0.07706535141800247,0
Greece,2007,274056,NA,0.18213792237156137,0,0.006280618012812461,0.16957668634593642,0.006280618012812461
Greece,2017,274056,27.20425007535594,0.1081938834391229,0.007212925562608194,0.014425851125216388,0.08655510675129832,0
Greece,2010,274056,39.673618382897246,0.10626992561105207,0,0.012502344189535539,0.09376758142151653,0
Greece,2012,274056,15.310998223091188,0.12189645217168153,0.012831205491755952,0.012831205491755952,0.09623404118816963,0
Greece,2010,260897,NA,0.13497789155224577,0.004654410053525715,0.004654410053525715,0.11636025133814289,0.00930882010705143
Greece,2016,260897,-49.09077468953282,0.005045154129458655,0,0,0,0.005045154129458655
Greece,2013,260897,5.473815461346643,0.15398330496798768,0.016208768943998704,0,0.11346138260799092,0.024313153415998056
Greece,2008,260897,-92.90457295665524,0.06743088334457181,0.04495392222971454,0,0.02247696111485727,0
Greece,2014,260897,-14.824447334200263,0,0,0,0,0
Greece,2007,260897,NA,0.01783007934385308,0,0,0.01783007934385308,0
Greece,2017,260897,NA,0.09041591320072333,0,0,0.08036970062286518,0.010046212577858147
Greece,2015,260897,-6.12074947952811,0,0,0,0,0
Greece,2011,260897,NA,0.39480177660799476,0.032900148050666225,0,0.35641827054888414,0.005483358008444371
Greece,2009,260897,NA,0.09167303284950344,0.02291825821237586,0,0.06875477463712758,0
Greece,2012,260897,159.84124412765266,0.1606610052788616,0,0,0.15301048121796343,0.007650524060898172
Greece,2012,371449,NA,0.09977273987029545,0.01662878997838257,0,0.08314394989191287,0
Greece,2007,371449,NA,0.27717283706196794,0.0593941793704217,0,0.21777865769154622,0
Greece,2008,371449,19.42187633779502,0.17438480914551444,0.019376089905057157,0,0.15500871924045725,0
Greece,2013,371449,NA,0.15689932999745568,0.025443134594182,0,0.1314561954032737,0
Greece,2017,371449,NA,0,0,0,0,0
Greece,2011,371449,1.726125607262552,0.08867667121418826,0.013642564802182811,0,0.07503410641200546,0
Greece,2010,371449,-1.2508625697678522,0.16021690904609318,0.012324377618930243,0,0.1417303426176978,0.0061621888094651215
Greece,2015,371449,-10.06369426751592,0.12046485260770974,0.0248015873015873,0,0.09566326530612244,0
Greece,2016,371449,NA,0.008106355382619973,0,0,0.008106355382619973,0
Greece,2009,371449,-6.925939761409761,0.14280614066404856,0.01785076758300607,0,0.12495537308104249,0
Greece,2014,371449,-6.436233611442188,0.009872642906506073,0,0,0.009872642906506073,0
Greece,2013,252726,-7.781365630631909,0,0,0,0,0
Greece,2011,252726,25.37507578726723,0,0,0,0,0
Greece,2014,252726,1.6406404682401288,0,0,0,0,0
Greece,2009,252726,-2.295264738528058,0,0,0,0,0
Greece,2008,252726,-9.87449330381237,0,0,0,0,0
Greece,2010,252726,22.128890145735557,0,0,0,0,0
Greece,2016,252726,5.692827097438458,0.004507346975570179,0,0,0.004507346975570179,0
Greece,2017,252726,7.121409217832109,0,0,0,0,0
Greece,2012,252726,6.527714935483653,0,0,0,0,0
Greece,2015,252726,8.370190949234857,0,0,0,0,0
Greece,2007,252726,NA,0,0,0,0,0
Greece,2013,387425,NA,0,0,0,0,0
Greece,2011,387425,NA,0,0,0,0,0
Greece,2017,387425,36.98412698412699,0,0,0,0,0
Greece,2014,387425,NA,0,0,0,0,0
Greece,2012,387425,NA,0,0,0,0,0
Greece,2010,387425,NA,0,0,0,0,0
Greece,2016,387425,NA,0,0,0,0,0
Greece,2009,387425,NA,0.07836990595611285,0,0,0.07836990595611285,0
Greece,2015,387425,NA,0,0,0,0,0
Greece,2015,291190,20.63463445416027,0,0,0,0,0
Greece,2009,291190,NA,0,0,0,0,0
Greece,2012,291190,-21.261238643674197,0,0,0,0,0
Greece,2016,291190,16.178448662382294,0,0,0,0,0
Greece,2011,291190,NA,0,0,0,0,0
Greece,2008,291190,-5.03891472093062,0.10070493454179255,0,0,0.10070493454179255,0
Greece,2014,291190,20.212400888615957,0,0,0,0,0
Greece,2013,291190,10.33458878858533,0,0,0,0,0
Greece,2010,291190,NA,0,0,0,0,0
Greece,2017,291190,-21.07909350142578,0,0,0,0,0
Greece,2007,291190,NA,0,0,0,0,0
Italy,2014,264640,0.06597938144330406,0.22333297883654152,0.026587259385302563,0,0.19142826757417847,0.005317451877060513
Italy,2017,264640,2.24295506473724,0.14720571999369117,0.02628673571315914,0,0.09463224856737291,0.02628673571315914
Italy,2007,264640,NA,0.003922183871979918,0,0,0.003922183871979918,0
Italy,2008,264640,-7.209975769753562,0.12903225806451613,0.03795066413662239,0,0.09108159392789374,0
Italy,2009,264640,-5.299025539774538,0.0911854103343465,0.022796352583586626,0,0.06838905775075987,0
Italy,2010,264640,-0.10417647454434853,0.10848464085874159,0.0171291538198013,0,0.09135548703894027,0
Italy,2015,264640,6.758427429324976,0.18187519598620258,0.03135779241141424,0,0.1442458450925055,0.0062715584822828465
Italy,2012,264640,-7.273326739202113,0.10654967094954561,0.01880288310874334,0,0.08774678784080225,0
Italy,2016,264640,1.3664788079981394,0.14784151389710232,0.029568302779420463,0,0.10053222945002956,0.017740981667652277
Italy,2011,264640,2.0970800841013437,0.10972933430870518,0.0243842965130456,0,0.08534503779565959,0
Italy,2013,264640,-13.774711989759636,0.2218718981724762,0.017516202487300753,0,0.19851696152274187,0.005838734162433585
Greece,2017,295571,-7.755618919177143,0.10053888844204939,0,0,0.10053888844204939,0
Greece,2012,295571,-12.419932920514643,0.11636025133814289,0,0,0.1047242262043286,0.011636025133814289
Greece,2016,295571,-3.5428452711989022,0.13109464024605455,0.005042101547925175,0,0.11596833560227904,0.01008420309585035
Greece,2014,295571,20.352626772248538,0.1403461872619127,0,0,0.12029673193878233,0.020049455323130388
Greece,2010,295571,9.233005455776343,0.16843741902047163,0,0,0.16843741902047163,0
Greece,2008,295571,39.14500549641786,0.07618080243778569,0.012696800406297611,0,0.06348400203148806,0
Greece,2015,295571,-6.159926336426979,0.1469258589511754,0,0,0.12997287522603979,0.016952983725135623
Greece,2009,295571,-65.79590300247533,0.13179571663920922,0,0,0.13179571663920922,0
Greece,2011,295571,-2.7892166529400186,0.1182033096926714,0.01074575542660649,0,0.1074575542660649,0
Greece,2013,295571,61.76366396761133,0.11188364101334612,0.007991688643810438,0,0.09590026372572524,0.007991688643810438
Greece,2007,295571,NA,0.0703977472720873,0,0,0.0703977472720873,0
Italy,2013,413804,1.2290961017271673,0.02038597444957869,0.016988312041315574,0,0.003397662408263115,0
Italy,2012,413804,7.369712737495426,0.08610697135287299,0.08610697135287299,0,0,0
Italy,2009,413804,-4.248080812415845,0,0,0,0,0
Italy,2008,413804,NA,0.029228940548334924,0.007794384146222647,0.0019485960365556618,0.017537364329000955,0.0019485960365556618
Italy,2011,413804,16.631713684752427,0.008105698305909055,0,0,0.008105698305909055,0
Italy,2010,413804,8.655156517839725,0,0,0,0,0
Greece,2010,311163,-8.363018323205518,0,0,0,0,0
Greece,2017,311163,0.7619525482044365,0.010951702989814916,0.010951702989814916,0,0,0
Greece,2016,311163,-4.890785634425021,0.006171315724512466,0.006171315724512466,0,0,0
Greece,2013,311163,-1.2844472656734829,0,0,0,0,0
Greece,2011,311163,-13.045442098517634,0,0,0,0,0
Greece,2009,311163,-5.428990825688073,0,0,0,0,0
Greece,2008,311163,6.847940023996668,0,0,0,0,0
Greece,2007,311163,NA,0,0,0,0,0
Greece,2012,311163,-8.451074605545095,0,0,0,0,0
Greece,2014,311163,5.388929003797149,0,0,0,0,0
Italy,2013,123586,9.136233329178612,0.009213702618534284,0,0,0.009213702618534284,0
Italy,2017,123586,2.7435906872115057,0,0,0,0,0
Italy,2016,123586,12.18090608996032,0,0,0,0,0
Italy,2008,123586,NA,0.058799029816008035,0,0,0.058799029816008035,0
Italy,2015,123586,-20.420302268920352,0,0,0,0,0
Italy,2011,123586,-0.6594312405550196,0.04839601769911504,0,0,0.04839601769911504,0
Italy,2012,123586,10.952841930576685,0.01101945721302185,0,0,0.01101945721302185,0
Italy,2009,123586,12.58437666302552,0.0625130235465722,0,0,0.0625130235465722,0
Italy,2010,123586,8.65260224897999,0.039528448857162786,0,0,0.039528448857162786,0
Italy,2016,102859,2.7985328080423866,0.0619299628420223,0.028149983110010133,0,0.03377997973201216,0
Italy,2017,102859,4.41390247125677,0.06731891212638004,0.022439637375460012,0,0.044879274750920024,0
Italy,2015,102859,7.616959064327489,0.037206994915044034,0.012402331638348009,0,0.024804663276696018,0
Italy,2007,102859,NA,0,0,0,0,0
Italy,2014,102859,-5.953526742747151,0.037136066547831255,0.007427213309566251,0,0.029708853238265005,0
Italy,2010,102859,22.51407129455909,0.009979044007584073,0,0,0.009979044007584073,0
Italy,2008,102859,0.5080109417741285,0.012162490878131841,0,0,0.012162490878131841,0
Italy,2009,102859,-27.468895800933126,0.0053106744556558685,0,0,0.0053106744556558685,0
Italy,2013,102859,-7.326707441386338,0.043932870573763286,0.008786574114752659,0,0.035146296459010636,0
Italy,2011,102859,17.326624371034782,0.008890732892748126,0,0,0.005927155261832084,0.002963577630916042
Italy,2012,102859,46.33600596680962,0.049370525796099726,0.008228420966016621,0,0.041142104830083105,0
Greece,2013,474969,0.8050859712485536,0.1472874560183291,0.04909581867277637,0,0.09000900090009001,0.008182636445462728
Greece,2012,474969,17.28570312564244,0.21827911561751864,0.04224757076468103,0,0.16899028305872413,0.007041261794113504
Greece,2009,474969,1.0404201403888536,0,0,0,0,0
Greece,2010,474969,-5.07096138917783,0.055257341332491314,0,0,0.055257341332491314,0
Greece,2014,474969,-1.8542919919124157,0.1266954836786406,0.044716053063049634,0,0.07452675510508272,0.007452675510508272
Greece,2008,474969,NA,0,0,0,0,0
Greece,2011,474969,-6.735534726071535,0.08442776735459662,0,0,0.075046904315197,0.009380863039399626
Greece,2017,474969,-8.032287238780633,0.09860109693720343,0.012325137117150428,0,0.086275959820053,0
Greece,2016,474969,-9.957904552461061,0.08359053497942387,0.019290123456790122,0,0.057870370370370364,0.006430041152263375
Greece,2015,474969,-1.924776703260489,0.11036004966202234,0.027590012415505585,0,0.07587253414264036,0.006897503103876396
Greece,2016,371146,NA,0.11900511722004047,0.03570153516601214,0,0.08330358205402832,0
Greece,2012,371146,NA,0,0,0,0,0
Greece,2011,371146,NA,0,0,0,0,0
Greece,2017,371146,NA,0.10981540553260472,0.020917220101448517,0,0.0888981854311562,0
Greece,2010,371146,-62.026651069544435,0,0,0,0,0
Greece,2014,371146,NA,0,0,0,0,0
Greece,2008,371146,21.95530568956132,0,0,0,0,0
Greece,2007,371146,NA,0,0,0,0,0
Greece,2013,371146,NA,0,0,0,0,0
Greece,2015,371146,NA,0.07147962830593281,0.07147962830593281,0,0,0
Italy,2014,148385,4.856047492114746,0.09423378954453668,0.08525914292124748,0,0.008974646623289208,0
Italy,2016,148385,10.143021315750289,0.08204406938584154,0.06641662759806219,0,0.01562744178777934,0
Italy,2013,148385,13.679907571618122,0.10991527364323335,0.08701625830089306,0,0.02289901534234028,0
Italy,2015,148385,6.109245297542132,0.103106648137356,0.08965795490204868,0,0.0134486932353073,0
Italy,2017,148385,11.628054096306407,0.10357045516489506,0.06541291905151267,0.005451076587626056,0.02998092123194331,0.002725538293813028
Italy,2008,148385,9.73831820315545,0,0,0,0,0
Italy,2012,148385,8.697883039646426,0.0977421561919656,0.08308083276317076,0,0.014661323428794839,0
Italy,2009,148385,8.394307705246561,0,0,0,0,0
Italy,2010,148385,-2.593896650809868,0.010646792653713068,0,0,0.010646792653713068,0
Italy,2011,148385,4.656011118832515,0.037727713700549746,0.005389673385792821,0,0.03233804031475693,0
Italy,2007,148385,NA,0,0,0,0,0
Greece,2013,446588,-14.040697956637537,0,0,0,0,0
Greece,2012,446588,0.4312917029269725,0,0,0,0,0
Greece,2014,446588,-6.279387987927598,0,0,0,0,0
Greece,2017,446588,10.67108448918901,0,0,0,0,0
Greece,2009,446588,1.5885843669463773,0,0,0,0,0
Greece,2011,446588,17.488938080027694,0,0,0,0,0
Greece,2016,446588,-1.5314917521909166,0,0,0,0,0
Greece,2010,446588,31.2700411901929,0,0,0,0,0
Greece,2015,446588,-10.381027745040916,0,0,0,0,0
Greece,2008,446588,NA,0,0,0,0,0
Italy,2012,306365,6.661221526454297,0,0,0,0,0
Italy,2011,306365,2.03722566904343,0,0,0,0,0
Italy,2015,306365,8.509374734877406,0,0,0,0,0
Italy,2017,306365,-16.433873413680267,0.004820438659918052,0,0,0.004820438659918052,0
Italy,2009,306365,NA,0,0,0,0,0
Italy,2010,306365,6.793908227848111,0,0,0,0,0
Italy,2016,306365,-2.0406567630961714,0,0,0,0,0
Italy,2014,306365,0.289287841402186,0,0,0,0,0
Italy,2012,281450,5.977357295542718,0.022166395744052016,0,0,0.022166395744052016,0
Italy,2013,281450,-7.119378455102343,0.23954554787488877,0.006844158510711108,0,0.23270138936417767,0
Italy,2008,281450,NA,0.04304778303917348,0.006149683291310498,0,0.036898099747862984,0
Italy,2009,281450,1.7853620043400964,0.03319391887406227,0.006638783774812454,0,0.026555135099249817,0
